engine,scenario,run,latency_ms
vt_hot,trace_search,17,52
lh_cold_traces,deps,17,43
vt_hot,deps,17,55
lh_cold_traces,span_count_1h,17,180
vt_hot,span_count_1h,17,64
lh_cold_logs,log_count_1h,17,33
vl_hot,log_count_1h,17,66
clickhouse,log_count_1h,17,85
clickhouse,span_count_1h,17,75
lh_cold_traces,trace_search,18,168
vt_hot,trace_search,18,52
lh_cold_traces,deps,18,57
vt_hot,deps,18,50
lh_cold_traces,span_count_1h,18,172
vt_hot,span_count_1h,18,52
lh_cold_logs,log_count_1h,18,35
vl_hot,log_count_1h,18,73
clickhouse,log_count_1h,18,77
clickhouse,span_count_1h,18,83
lh_cold_traces,trace_search,19,168
vt_hot,trace_search,19,53
lh_cold_traces,deps,19,45
vt_hot,deps,19,39
lh_cold_traces,span_count_1h,19,173
vt_hot,span_count_1h,19,54
lh_cold_logs,log_count_1h,19,28
vl_hot,log_count_1h,19,62
clickhouse,log_count_1h,19,79
clickhouse,span_count_1h,19,78
lh_cold_traces,trace_search,20,154
vt_hot,trace_search,20,49
lh_cold_traces,deps,20,56
vt_hot,deps,20,60
lh_cold_traces,span_count_1h,20,168
vt_hot,span_count_1h,20,56
lh_cold_logs,log_count_1h,20,29
vl_hot,log_count_1h,20,63
clickhouse,log_count_1h,20,76
clickhouse,span_count_1h,20,80
lh_cold_traces,trace_search,21,160
vt_hot,trace_search,21,56
lh_cold_traces,deps,21,43
vt_hot,deps,21,58
lh_cold_traces,span_count_1h,21,180
vt_hot,span_count_1h,21,54
lh_cold_logs,log_count_1h,21,27
vl_hot,log_count_1h,21,63
clickhouse,log_count_1h,21,79
clickhouse,span_count_1h,21,74
lh_cold_traces,trace_search,22,156
vt_hot,trace_search,22,40
lh_cold_traces,deps,22,43
vt_hot,deps,22,57
lh_cold_traces,span_count_1h,22,182
vt_hot,span_count_1h,22,56
lh_cold_logs,log_count_1h,22,30
vl_hot,log_count_1h,22,69
clickhouse,log_count_1h,22,72
clickhouse,span_count_1h,22,60
lh_cold_traces,trace_search,23,277
vt_hot,trace_search,23,85
lh_cold_traces,deps,23,46
vt_hot,deps,23,51
lh_cold_traces,span_count_1h,23,173
vt_hot,span_count_1h,23,43
lh_cold_logs,log_count_1h,23,30
vl_hot,log_count_1h,23,66
clickhouse,log_count_1h,23,78
clickhouse,span_count_1h,23,74
lh_cold_traces,trace_search,24,153
vt_hot,trace_search,24,54
lh_cold_traces,deps,24,45
vt_hot,deps,24,48
lh_cold_traces,span_count_1h,24,177
vt_hot,span_count_1h,24,47
lh_cold_logs,log_count_1h,24,29
vl_hot,log_count_1h,24,62
clickhouse,log_count_1h,24,76
clickhouse,span_count_1h,24,75
lh_cold_traces,trace_search,25,155
vt_hot,trace_search,25,58
lh_cold_traces,deps,25,52
vt_hot,deps,25,50
lh_cold_traces,span_count_1h,25,171
vt_hot,span_count_1h,25,51
lh_cold_logs,log_count_1h,25,30
vl_hot,log_count_1h,25,62
clickhouse,log_count_1h,25,75
clickhouse,span_count_1h,25,72
lh_cold_traces,trace_search,26,172
vt_hot,trace_search,26,51
lh_cold_traces,deps,26,44
vt_hot,deps,26,37
lh_cold_traces,span_count_1h,26,184
vt_hot,span_count_1h,26,60
lh_cold_logs,log_count_1h,26,29
vl_hot,log_count_1h,26,68
clickhouse,log_count_1h,26,62
clickhouse,span_count_1h,26,85
lh_cold_traces,trace_search,27,156
vt_hot,trace_search,27,54
lh_cold_traces,deps,27,43
vt_hot,deps,27,46
lh_cold_traces,span_count_1h,27,173
vt_hot,span_count_1h,27,54
lh_cold_logs,log_count_1h,27,28
vl_hot,log_count_1h,27,73
clickhouse,log_count_1h,27,79
clickhouse,span_count_1h,27,77
lh_cold_traces,trace_search,28,178
vt_hot,trace_search,28,75
lh_cold_traces,deps,28,46
vt_hot,deps,28,55
lh_cold_traces,span_count_1h,28,177
vt_hot,span_count_1h,28,60
lh_cold_logs,log_count_1h,28,29
vl_hot,log_count_1h,28,73
clickhouse,log_count_1h,28,82
clickhouse,span_count_1h,28,89
lh_cold_traces,trace_search,29,164
vt_hot,trace_search,29,59
lh_cold_traces,deps,29,48
vt_hot,deps,29,57
lh_cold_traces,span_count_1h,29,174
vt_hot,span_count_1h,29,56
lh_cold_logs,log_count_1h,29,29
vl_hot,log_count_1h,29,66
clickhouse,log_count_1h,29,61
clickhouse,span_count_1h,29,76
lh_cold_traces,trace_search,30,151
vt_hot,trace_search,30,57
lh_cold_traces,deps,30,53
vt_hot,deps,30,51
lh_cold_traces,span_count_1h,30,181
vt_hot,span_count_1h,30,56
lh_cold_logs,log_count_1h,30,40
vl_hot,log_count_1h,30,83
clickhouse,log_count_1h,30,77
clickhouse,span_count_1h,30,76
