engine,scenario,run,latency_ms
clickhouse,span_count_1h,15,143
clickhouse,trace_search,15,158
lh_cold_traces,trace_search,16,149
vt_hot,trace_search,16,55
lh_cold_traces,deps,16,46
vt_hot,deps,16,54
lh_cold_traces,span_count_1h,16,128
vt_hot,span_count_1h,16,58
lh_cold_logs,log_count_1h,16,32
vl_hot,log_count_1h,16,53
clickhouse,log_count_1h,16,174
clickhouse,span_count_1h,16,164
clickhouse,trace_search,16,169
lh_cold_traces,trace_search,17,182
vt_hot,trace_search,17,58
lh_cold_traces,deps,17,49
vt_hot,deps,17,41
lh_cold_traces,span_count_1h,17,137
vt_hot,span_count_1h,17,57
lh_cold_logs,log_count_1h,17,36
vl_hot,log_count_1h,17,77
clickhouse,log_count_1h,17,197
clickhouse,span_count_1h,17,177
clickhouse,trace_search,17,176
lh_cold_traces,trace_search,18,175
vt_hot,trace_search,18,64
lh_cold_traces,deps,18,46
vt_hot,deps,18,66
lh_cold_traces,span_count_1h,18,131
vt_hot,span_count_1h,18,58
lh_cold_logs,log_count_1h,18,35
vl_hot,log_count_1h,18,67
clickhouse,log_count_1h,18,178
clickhouse,span_count_1h,18,194
clickhouse,trace_search,18,173
lh_cold_traces,trace_search,19,178
vt_hot,trace_search,19,56
lh_cold_traces,deps,19,50
vt_hot,deps,19,54
lh_cold_traces,span_count_1h,19,133
vt_hot,span_count_1h,19,57
lh_cold_logs,log_count_1h,19,34
vl_hot,log_count_1h,19,68
clickhouse,log_count_1h,19,186
clickhouse,span_count_1h,19,254
clickhouse,trace_search,19,180
lh_cold_traces,trace_search,20,183
vt_hot,trace_search,20,61
lh_cold_traces,deps,20,45
vt_hot,deps,20,50
lh_cold_traces,span_count_1h,20,128
vt_hot,span_count_1h,20,59
lh_cold_logs,log_count_1h,20,32
vl_hot,log_count_1h,20,134
clickhouse,log_count_1h,20,150
clickhouse,span_count_1h,20,205
clickhouse,trace_search,20,180
lh_cold_traces,trace_search,21,164
vt_hot,trace_search,21,50
lh_cold_traces,deps,21,41
vt_hot,deps,21,48
lh_cold_traces,span_count_1h,21,139
vt_hot,span_count_1h,21,52
lh_cold_logs,log_count_1h,21,36
vl_hot,log_count_1h,21,63
clickhouse,log_count_1h,21,175
clickhouse,span_count_1h,21,161
clickhouse,trace_search,21,157
lh_cold_traces,trace_search,22,169
vt_hot,trace_search,22,54
lh_cold_traces,deps,22,44
vt_hot,deps,22,56
lh_cold_traces,span_count_1h,22,138
vt_hot,span_count_1h,22,54
lh_cold_logs,log_count_1h,22,35
vl_hot,log_count_1h,22,65
clickhouse,log_count_1h,22,192
clickhouse,span_count_1h,22,175
clickhouse,trace_search,22,157
lh_cold_traces,trace_search,23,183
vt_hot,trace_search,23,56
lh_cold_traces,deps,23,48
vt_hot,deps,23,54
lh_cold_traces,span_count_1h,23,119
vt_hot,span_count_1h,23,61
lh_cold_logs,log_count_1h,23,32
vl_hot,log_count_1h,23,62
clickhouse,log_count_1h,23,211
clickhouse,span_count_1h,23,154
clickhouse,trace_search,23,167
lh_cold_traces,trace_search,24,175
vt_hot,trace_search,24,52
lh_cold_traces,deps,24,43
vt_hot,deps,24,53
lh_cold_traces,span_count_1h,24,153
vt_hot,span_count_1h,24,52
lh_cold_logs,log_count_1h,24,32
vl_hot,log_count_1h,24,53
clickhouse,log_count_1h,24,170
clickhouse,span_count_1h,24,172
clickhouse,trace_search,24,160
lh_cold_traces,trace_search,25,171
vt_hot,trace_search,25,55
lh_cold_traces,deps,25,42
vt_hot,deps,25,48
lh_cold_traces,span_count_1h,25,101
vt_hot,span_count_1h,25,69
lh_cold_logs,log_count_1h,25,51
vl_hot,log_count_1h,25,63
clickhouse,log_count_1h,25,183
clickhouse,span_count_1h,25,174
clickhouse,trace_search,25,155
lh_cold_traces,trace_search,26,173
vt_hot,trace_search,26,53
lh_cold_traces,deps,26,38
vt_hot,deps,26,55
lh_cold_traces,span_count_1h,26,108
vt_hot,span_count_1h,26,59
lh_cold_logs,log_count_1h,26,29
vl_hot,log_count_1h,26,62
clickhouse,log_count_1h,26,177
clickhouse,span_count_1h,26,148
clickhouse,trace_search,26,167
lh_cold_traces,trace_search,27,229
vt_hot,trace_search,27,38
lh_cold_traces,deps,27,42
vt_hot,deps,27,41
lh_cold_traces,span_count_1h,27,102
vt_hot,span_count_1h,27,44
lh_cold_logs,log_count_1h,27,35
vl_hot,log_count_1h,27,65
clickhouse,log_count_1h,27,179
clickhouse,span_count_1h,27,164
clickhouse,trace_search,27,164
lh_cold_traces,trace_search,28,179
vt_hot,trace_search,28,64
lh_cold_traces,deps,28,45
vt_hot,deps,28,35
lh_cold_traces,span_count_1h,28,110
vt_hot,span_count_1h,28,55
lh_cold_logs,log_count_1h,28,34
vl_hot,log_count_1h,28,60
clickhouse,log_count_1h,28,168
clickhouse,span_count_1h,28,169
clickhouse,trace_search,28,162
lh_cold_traces,trace_search,29,181
vt_hot,trace_search,29,59
lh_cold_traces,deps,29,79
vt_hot,deps,29,112
lh_cold_traces,span_count_1h,29,117
vt_hot,span_count_1h,29,57
lh_cold_logs,log_count_1h,29,33
vl_hot,log_count_1h,29,49
clickhouse,log_count_1h,29,177
clickhouse,span_count_1h,29,167
clickhouse,trace_search,29,165
lh_cold_traces,trace_search,30,171
vt_hot,trace_search,30,36
lh_cold_traces,deps,30,47
vt_hot,deps,30,53
lh_cold_traces,span_count_1h,30,105
vt_hot,span_count_1h,30,52
lh_cold_logs,log_count_1h,30,35
vl_hot,log_count_1h,30,53
clickhouse,log_count_1h,30,167
clickhouse,span_count_1h,30,162
clickhouse,trace_search,30,166
